SKU;Ціна фіду стара;Ціна фіду нова;Зміна фіду %;Наша ціна стара;Наша ціна нова;Зміна нашої %;CPA %;Доступний;Залишок;Причина алерту
CJEK1225;1386.00;1386.00;+0.00%;1600.00;1600.00;+0.00%;14.92%;Ні;*;недоступний у фіді
CJEK1633;1701.00;1701.00;+0.00%;1960.00;1960.00;+0.00%;14.92%;Ні;*;недоступний у фіді
CLBA0808;531.00;531.00;+0.00%;620.00;620.00;+0.00%;14.92%;Ні;*;недоступний у фіді
CLDA0101;202.00;202.00;+0.00%;240.00;240.00;+0.00%;15.00%;Ні;*;недоступний у фіді
CMPR1602;517.00;517.00;+0.00%;600.00;600.00;+0.00%;15.12%;Ні;*;недоступний у фіді
CMPR1603;701.00;701.00;+0.00%;810.00;810.00;+0.00%;15.12%;Ні;*;недоступний у фіді
CPIB0107;113.00;113.00;+0.00%;130.00;130.00;+0.00%;14.60%;Ні;*;недоступний у фіді
CR301;1056.00;1056.00;+0.00%;1220.00;1220.00;+0.00%;14.66%;Ні;*;недоступний у фіді
CR501;3124.00;3124.00;+0.00%;3590.00;3590.00;+0.00%;14.66%;Ні;*;недоступний у фіді
CR601;3276.00;3276.00;+0.00%;3760.00;3760.00;+0.00%;14.66%;Ні;*;недоступний у фіді
CRE905;14520.00;14520.00;+0.00%;16650.00;16650.00;+0.00%;14.66%;Ні;*;недоступний у фіді
CRE916;13200.00;13200.00;+0.00%;15140.00;15140.00;+0.00%;14.66%;Ні;*;недоступний у фіді
CRP-123;9460.00;9460.00;+0.00%;10850.00;10850.00;+0.00%;14.66%;Ні;*;недоступний у фіді
CRP-129;8800.00;8800.00;+0.00%;10100.00;10100.00;+0.00%;14.66%;Ні;*;недоступний у фіді
CRT-511;13200.00;13200.00;+0.00%;15140.00;15140.00;+0.00%;14.66%;Ні;*;недоступний у фіді
CRT-711;22000.00;22000.00;+0.00%;25230.00;25230.00;+0.00%;14.66%;Ні;*;недоступний у фіді
CS300R1;873.00;873.00;+0.00%;1010.00;1010.00;+0.00%;14.60%;Ні;*;недоступний у фіді
CSC2101;1555.00;1555.00;+0.00%;1790.00;1790.00;+0.00%;14.60%;Ні;*;недоступний у фіді
CSCS025R2;792.00;792.00;+0.00%;910.00;910.00;+0.00%;14.60%;Ні;*;недоступний у фіді
CSCS030R2;873.00;873.00;+0.00%;1010.00;1010.00;+0.00%;14.60%;Ні;*;недоступний у фіді
